Title,Paragraph,Date,Author
Can ChatGPT Make This Podcast?,"OpenAI’s new chatbot is a coder, a teacher, a potential Google killer, and … a friend?","Dec. 9, 2022","KEVIN ROOSE, CASEY NEWTON, DAVIS LAND, PAULA SZUCHMAN, DAN POWELL, ELISHEBA ITTOOP, ROWAN NIEMISTO and ALYSSA MOXLEY"
Apple Details Plans to Beef Up Encryption of Data in Its iCloud,The move could frustrate law enforcement efforts to circumvent the already tough security of iPhones.,"Dec. 7, 2022",TRIPP MICKLE
Why Losing to Meta in Court May Still Be a Win for Regulators,"As the Federal Trade Commission prepares to face off in court against Meta over a V.R. start-up deal, the agency is testing a novel argument as part of a strategy to push antitrust law.","Dec. 7, 2022",DAVID MCCABE
Twitter’s Rivals Try to Capitalize on Musk-Induced Chaos,"New start-ups and other social platforms sense opportunity as Twitter grapples with changes from Elon Musk, its new owner.","Dec. 7, 2022",KALLEY HUANG
Microsoft to Offer Call of Duty on Nintendo Devices if Activision Deal Closes,"The move appears to be an olive branch to the Federal Trade Commission, which could vote to block the $69 billion acquisition in a closed-door session on Thursday.","Dec. 6, 2022",KAREN WEISE and KELLEN BROWNING
Apple Expands Pricing for Apps,"At a time of rising inflation, the company is introducing 600 options that could free developers from the days of charging 99 cents.","Dec. 6, 2022",TRIPP MICKLE
Oversight Board Criticizes Meta for Preferential Treatment,"Influential and powerful users on Facebook and Instagram receive “unequal treatment,” an internal report said.","Dec. 6, 2022",ADAM SATARIANO and SHEERA FRENKEL
Computer Science Students Face a Shrinking Big Tech Job Market,A new reality is setting in for students and recent graduates who spent years honing themselves for careers at the largest tech companies.,"Dec. 6, 2022",NATASHA SINGER and KALLEY HUANG
Inside the Face-Off Between Russia and a Small Internet Access Firm,"The cat-and-mouse experience of Proton, a Swiss company, shows what it’s like to be targeted by Russian censors — and what it takes to fight back.","Dec. 6, 2022",ADAM SATARIANO and PAUL MOZUR
Are You Applying for Tech Jobs or Internships? We Want to Hear About It.,Layoffs and hiring freezes at companies like Amazon and Meta are changing the job market for recent grads and college students. Tell us about your experiences.,"Dec. 6, 2022",NATASHA SINGER
